1689621284579;[509, 0, 0, 0, 0, 0]
1689621284596;[510, 1, 0, 0, 0, 0]
1689621284597;[510, 1, 0, 0, 0, 0]
1689621284596;[510, 1, 0, 0, 0, 0]
1689621284597;[509, 1, 0, 0, 0, 0]
1689621284635;[508, 1, 0, 0, 0, 0]
1689621284703;[508, 1, 0, 0, 0, 0]
1689621284703;[507, 1, 0, 0, 0, 0]
1689621284772;[509, 0, 0, 0, 0, 0]
1689621284773;[510, 1, 0, 0, 0, 0]
1689621284836;[510, 1, 0, 0, 0, 0]
1689621284838;[509, 1, 0, 0, 0, 0]
1689621284839;[508, 1, 0, 0, 0, 0]
1689621284840;[513, 1, 0, 0, 0, 0]
1689621284841;[512, 1, 0, 0, 0, 0]
1689621284842;[511, 1, 0, 0, 0, 0]
1689621284843;[511, 1, 0, 0, 0, 0]
1689621284845;[509, 1, 0, 0, 0, 0]
1689621284845;[508, 1, 0, 0, 0, 0]
1689621284846;[511, 1, 0, 0, 0, 0]
1689621284846;[511, 1, 0, 0, 0, 0]
1689621284847;[508, 1, 0, 0, 0, 0]
1689621284848;[508, 1, 0, 0, 0, 0]
1689621284848;[509, 1, 0, 0, 0, 0]
1689621284850;[511, 1, 0, 0, 0, 0]
1689621284851;[514, 1, 0, 0, 0, 0]
1689621284852;[510, 1, 0, 0, 0, 0]
1689621284852;[509, 1, 0, 0, 0, 0]
1689621284877;[509, 1, 0, 0, 0, 0]
1689621284878;[511, 1, 0, 0, 0, 0]
1689621284878;[510, 1, 0, 0, 0, 0]
1689621284882;[509, 1, 0, 0, 0, 0]
1689621284883;[508, 1, 0, 0, 0, 0]
1689621284883;[511, 1, 0, 0, 0, 0]
1689621284915;[508, 1, 0, 0, 0, 0]
1689621284916;[509, 1, 0, 0, 0, 0]
1689621284916;[503, 1, 0, 0, 0, 0]
1689621284939;[511, 1, 0, 0, 0, 0]
1689621284941;[507, 1, 0, 0, 0, 0]
1689621284971;[515, 1, 0, 0, 0, 0]
1689621284971;[508, 1, 0, 0, 0, 0]
1689621284972;[505, 1, 0, 0, 0, 0]
1689621284973;[503, 1, 0, 0, 0, 0]
1689621285001;[511, 1, 0, 0, 0, 0]
1689621285001;[509, 0, 0, 0, 0, 0]
1689621285002;[515, 1, 0, 0, 0, 0]
1689621285033;[511, 1, 0, 0, 0, 0]
1689621285035;[508, 1, 0, 0, 0, 0]
1689621285037;[508, 1, 0, 0, 0, 0]
1689621285037;[520, 1, 0, 0, 0, 0]
1689621285080;[505, 1, 0, 0, 0, 0]
1689621285082;[504, 1, 0, 0, 0, 0]
1689621285083;[525, 0, 0, 0, 0, 0]
1689621285128;[510, 1, 0, 0, 0, 0]
1689621285129;[512, 1, 0, 0, 0, 0]
1689621285129;[508, 1, 0, 0, 0, 0]
1689621285130;[511, 1, 0, 0, 0, 0]
1689621285149;[509, 1, 0, 0, 0, 0]
1689621285150;[509, 1, 0, 0, 0, 0]
1689621285151;[509, 1, 0, 0, 0, 0]
1689621285188;[510, 1, 0, 0, 0, 0]
1689621285189;[508, 1, 0, 0, 0, 0]
1689621285189;[509, 1, 0, 0, 0, 0]
1689621285190;[512, 1, 0, 0, 0, 0]
1689621285219;[512, 1, 0, 0, 0, 0]
1689621285220;[510, 1, 0, 0, 0, 0]
1689621285220;[509, 1, 0, 0, 0, 0]
1689621285221;[510, 1, 0, 0, 0, 0]
1689621285260;[511, 1, 0, 0, 0, 0]
1689621285261;[509, 1, 0, 0, 0, 0]
1689621285262;[509, 1, 0, 0, 0, 0]
1689621285263;[511, 1, 0, 0, 0, 0]
1689621285292;[510, 1, 0, 0, 0, 0]
1689621285293;[511, 1, 0, 0, 0, 0]
1689621285293;[510, 1, 0, 0, 0, 0]
1689621285328;[510, 1, 0, 0, 0, 0]
1689621285329;[509, 1, 0, 0, 0, 0]
1689621285330;[510, 1, 0, 0, 0, 0]
1689621285331;[509, 1, 0, 0, 0, 0]
1689621285364;[511, 1, 0, 0, 0, 0]
1689621285435;[510, 1, 0, 0, 0, 0]
1689621285437;[507, 1, 0, 0, 0, 0]
1689621285439;[510, 1, 0, 0, 0, 0]
1689621285502;[512, 1, 0, 0, 0, 0]
1689621285506;[511, 1, 0, 0, 0, 0]
1689621285507;[509, 1, 0, 0, 0, 0]
1689621285509;[512, 1, 0, 0, 0, 0]
1689621285511;[507, 1, 0, 0, 0, 0]
1689621285511;[512, 0, 0, 0, 0, 0]
1689621285562;[508, 1, 0, 0, 0, 0]
1689621285564;[511, 1, 0, 0, 0, 0]
1689621285565;[510, 1, 0, 0, 0, 0]
1689621285615;[511, 1, 0, 0, 0, 0]
1689621285616;[509, 1, 0, 0, 0, 0]
1689621285617;[510, 1, 0, 0, 0, 0]
1689621285617;[510, 1, 0, 0, 0, 0]
1689621285617;[509, 0, 0, 0, 0, 0]
1689621285618;[508, 1, 0, 0, 0, 0]
1689621285618;[509, 1, 0, 0, 0, 0]
1689621285619;[511, 1, 0, 0, 0, 0]
1689621285619;[509, 1, 0, 0, 0, 0]
1689621285619;[511, 1, 0, 0, 0, 0]
1689621285620;[511, 1, 0, 0, 0, 0]
1689621285620;[507, 1, 0, 0, 0, 0]
1689621285621;[510, 1, 0, 0, 0, 0]
1689621285621;[509, 1, 0, 0, 0, 0]
1689621285621;[511, 1, 0, 0, 0, 0]
1689621285622;[510, 1, 0, 0, 0, 0]
1689621285656;[509, 1, 0, 0, 0, 0]
1689621285657;[512, 1, 0, 0, 0, 0]
1689621285658;[508, 1, 0, 0, 0, 0]
1689621285667;[510, 1, 0, 0, 0, 0]
1689621285693;[507, 1, 0, 0, 0, 0]
1689621285694;[509, 1, 0, 0, 0, 0]
1689621285694;[512, 1, 0, 0, 0, 0]
1689621285718;[511, 1, 0, 0, 0, 0]
1689621285728;[510, 1, 0, 0, 0, 0]
1689621285729;[509, 1, 0, 0, 0, 0]
1689621285730;[508, 1, 0, 0, 0, 0]
1689621285764;[510, 1, 0, 0, 0, 0]
1689621285765;[511, 1, 0, 0, 0, 0]
1689621285766;[511, 1, 0, 0, 0, 0]
1689621285798;[510, 1, 0, 0, 0, 0]
1689621285799;[512, 1, 0, 0, 0, 0]
1689621285800;[510, 1, 0, 0, 0, 0]
1689621285801;[511, 1, 0, 0, 0, 0]
1689621285835;[509, 1, 0, 0, 0, 0]
1689621285836;[506, 1, 0, 0, 0, 0]
1689621285860;[510, 1, 0, 0, 0, 0]
1689621285862;[511, 1, 0, 0, 0, 0]
1689621285888;[505, 1, 0, 0, 0, 0]
1689621285889;[512, 1, 0, 0, 0, 0]
1689621285889;[511, 0, 0, 0, 0, 0]
1689621285889;[511, 1, 0, 0, 0, 0]
1689621285931;[511, 1, 0, 0, 0, 0]
1689621285932;[508, 1, 0, 0, 0, 0]
1689621285933;[511, 1, 0, 0, 0, 0]
